# Y-M-D   T H:M:S     ObsNum  ObsGoal      ObgPgm    SourceName                ProjectId                      RestFreq  VLSR      TINT   RA        DEC          AZ    EL
2020-02-12T01:43:29    90443  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   45.0  35.8  720 0
2020-02-12T01:43:51    90444  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   45.0  35.9  720 0
2020-02-12T02:07:20    90445  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   43.8  39.8  720 0
2020-02-12T02:07:41    90446  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   43.8  39.9  720 0
2020-02-12T02:36:24    90449  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   41.6  44.5  720 0
2020-02-12T02:36:59    90450  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   41.6  44.5  720 0
2020-02-12T03:01:20    90451  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   38.9  48.3  720 0
2020-02-12T03:01:43    90452  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   38.9  48.4  720 0
2020-02-12T03:25:35    90453  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   35.4  51.8  720 0
2020-02-12T03:25:57    90454  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   35.3  51.8  720 0
2020-02-12T03:54:19    90457  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   30.0  55.5  720 0
2020-02-12T03:54:44    90458  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   29.9  55.5  720 0
2020-02-12T04:18:37    90459  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   24.1  58.1  720 0
2020-02-12T04:19:00    90460  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.2  202.469625  47.195172   24.0  58.1  720 0
2020-02-12T04:42:54    90461  Calibration  Cal       NGC5194-central           2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   17.1  60.1  720 0
2020-02-12T04:43:15    90462  Science      Map(Ra)   NGC5194-central           2018-S1-MU-8                    88.6318   463     998.1  202.469625  47.195172   16.9  60.2  720 0
2020-02-13T02:05:16    90647  Calibration  Cal       NGC5194                   2018S1-MU-8                    115.2712   463       5.0  202.469583  47.195278   43.8  39.9  720 0
2020-02-13T02:05:41    90648  Science      Map(Ra)   NGC5194                   2018S1-MU-8                    115.2712   463    1381.3  202.469583  47.195278   43.7  40.2  720 0
2020-02-13T02:32:36    90649  Calibration  Cal       NGC5194                   2018S1-MU-8                    115.2712   463       5.0  202.469583  47.195278   41.6  44.5  720 0
2020-02-13T02:33:02    90650  Science      Map(Ra)   NGC5194                   2018S1-MU-8                    115.2712   463    1381.3  202.469583  47.195278   41.6  44.6  720 0
2020-02-13T02:59:46    90651  Calibration  Cal       NGC5194                   2018S1-MU-8                    115.2712   463       5.0  202.469583  47.195278   38.6  48.6  720 0
2020-02-13T03:00:12    90652  Science      Map(Ra)   NGC5194                   2018S1-MU-8                    115.2712   463    1381.3  202.469583  47.195278   38.6  48.7  720 0
2020-02-13T03:26:54    90653  Calibration  Cal       NGC5194                   2018S1-MU-8                    115.2712   463       5.0  202.469583  47.195278   34.5  52.5  720 0
2020-02-13T03:27:18    90654  Science      Map(Ra)   NGC5194                   2018S1-MU-8                    115.2712   463    1381.3  202.469583  47.195278   34.5  52.5  720 0
2020-02-13T03:58:38    90657  Calibration  Cal       NGC5194                   2018S1-MU-8                    115.2712   463       5.0  202.469583  47.195278   28.1  56.4  720 0
2020-02-13T03:59:03    90658  Science      Map(Ra)   NGC5194                   2018S1-MU-8                    115.2712   463    1381.3  202.469583  47.195278   28.0  56.5  720 0
2020-02-13T04:25:51    90659  Calibration  Cal       NGC5194                   2018S1-MU-8                    115.2712   463       5.0  202.469583  47.195278   21.0  59.1  720 0
2020-02-13T04:26:15    90660  Science      Map(Ra)   NGC5194                   2018S1-MU-8                    115.2712   463    1381.3  202.469583  47.195278   20.9  59.1  720 0
2020-02-13T04:57:24    90663  Calibration  Cal       NGC5194                   2018S1-MU-8                    115.2712   463       5.1  202.469583  47.195278   11.0  61.2  720 0
2020-02-13T04:57:49    90664  Science      Map(Ra)   NGC5194                   2018S1-MU-8                    115.2712   463    1381.3  202.469583  47.195278   10.9  61.2  720 0
2020-02-13T05:25:05    90665  Calibration  Cal       NGC5194                   2018S1-MU-8                    115.2712   463       5.0  202.469583  47.195278    1.2  61.9  720 0
2020-02-13T05:25:30    90666  Science      Map(Ra)   NGC5194                   2018S1-MU-8                    115.2712   463    1381.3  202.469583  47.195278    1.0  61.9  720 0
2020-02-14T01:54:00    90739  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   44.2  38.7  720 0
2020-02-14T01:54:23    90740  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3708.2  202.469625  47.195172   44.1  39.0  720 0
2020-02-14T03:28:25    90743  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   33.6  53.2  720 0
2020-02-14T03:28:48    90744  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3708.3  202.469625  47.195172   33.5  53.3  720 0
2020-02-14T05:19:25    90757  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172    1.8  61.9  720 0
2020-02-14T05:19:48    90758  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3708.4  202.469625  47.195172    1.7  61.9  720 0
2020-02-18T01:08:23    90910  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   45.5  33.6  720 0
2020-02-18T01:08:47    90911  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3070.3  202.469625  47.195172   45.4  34.0  720 0
2020-02-18T02:20:13    90914  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   40.9  45.6  720 0
2020-02-18T02:20:37    90915  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3070.4  202.469625  47.195172   40.8  45.7  720 0
2020-02-18T04:33:35    90946  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   12.4  61.0  720 0
2020-02-18T04:33:59    90947  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3070.2  202.469625  47.195172   12.3  61.0  720 0
2020-02-18T05:46:54    90950  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172  346.6  60.8  720 0
2020-02-18T05:47:18    90951  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3070.4  202.469625  47.195172  346.4  60.8  720 0
2020-02-19T00:58:38    90994  Calibration  Cal       NGC5194                   2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   45.6  32.6  720 0
2020-02-19T00:59:04    90995  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                    88.6318   463    1218.1  202.469625  47.195172   45.6  33.0  720 0
2020-02-19T02:17:44    90998  Calibration  Cal       NGC5194                   2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   40.7  45.9  720 0
2020-02-19T02:18:09    90999  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                    88.6318   463    1218.2  202.469625  47.195172   40.7  45.9  720 0
2020-02-19T03:45:56    91036  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   25.5  57.6  720 0
2020-02-19T03:46:22    91037  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3708.2  202.469625  47.195172   25.3  57.6  720 0
2020-02-19T05:15:56    91040  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172  356.0  61.8  720 0
2020-02-19T05:16:22    91041  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    3708.2  202.469625  47.195172  355.8  61.8  720 0
2020-02-20T01:03:30    91111  Calibration  Cal       NGC5194                   2018-S1-MU-8                   115.2712   463       5.0  202.469625  47.195172   45.4  34.1  720 0
2020-02-20T01:03:56    91112  Science      Map(Ra)   NGC5194                   2018-S1-MU-8                   115.2712   463    4984.3  202.469625  47.195172   45.3  34.5  720 0
2020-02-25T00:04:51    91327  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   46.0  27.4  720 0
2020-02-25T00:05:18    91328  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463     115.2  202.469625  47.195172   46.0  27.9  720 0
2020-02-25T00:51:59    91335  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   45.1  35.5  720 0
2020-02-25T00:52:53    91336  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463     807.4  202.469625  47.195172   45.0  35.9  720 0
2020-02-25T01:17:30    91337  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   43.7  40.0  720 0
2020-02-25T01:17:57    91338  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463     807.4  202.469625  47.195172   43.7  40.1  720 0
2020-02-25T01:41:03    91339  Calibration  Cal       NGC5194_south             2018S1SEQUOIACommissioning      86.2434   463       5.0  202.469625  47.195172   42.0  43.8  239.76 0
2020-02-25T01:41:27    91340  Pointing     Map(Az)   NGC5194_south             2018S1SEQUOIACommissioning      86.2434   463      79.5  202.469625  47.195172   42.0  43.9  239.76 0
2020-02-25T02:05:19    91343  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   39.5  47.6  720 0
2020-02-25T02:05:46    91344  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   39.5  47.6  720 0
2020-02-25T02:36:49    91345  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   35.0  52.1  720 0
2020-02-25T02:37:16    91346  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   35.0  52.2  720 0
2020-02-25T03:14:34    91349  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   27.4  56.8  720 0
2020-02-25T03:15:05    91350  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   27.2  56.8  720 0
2020-02-25T03:47:43    91351  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   18.3  59.8  720 0
2020-02-25T03:48:09    91352  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   18.2  59.9  720 0
2020-02-25T04:26:14    91355  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172    5.4  61.7  720 0
2020-02-25T04:26:42    91356  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.5  202.469625  47.195172    5.2  61.7  720 0
2020-02-25T04:57:59    91357  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  354.0  61.7  720 0
2020-02-25T04:58:26    91358  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  353.8  61.7  720 0
2020-02-25T05:34:10    91361  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  341.9  59.9  720 0
2020-02-25T05:34:37    91362  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  341.7  59.8  720 0
2020-02-25T06:05:23    91363  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  333.2  57.0  720 0
2020-02-25T06:05:50    91364  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  333.1  57.0  720 0
2020-02-25T06:41:06    91367  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  325.8  52.7  720 0
2020-02-25T06:41:33    91368  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  325.7  52.6  720 0
2020-02-25T07:12:22    91369  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  321.1  48.3  720 0
2020-02-25T07:12:49    91370  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.8  202.469625  47.195172  321.0  48.2  720 0
2020-02-26T00:30:39    91522  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   45.6  32.5  720 0
2020-02-26T00:31:16    91523  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463     807.4  202.469625  47.195172   45.6  32.9  720 0
2020-02-26T00:58:33    91524  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   44.6  37.5  720 0
2020-02-26T00:59:07    91525  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463     807.4  202.469625  47.195172   44.5  37.6  720 0
2020-02-26T01:34:36    91533  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   42.2  43.4  720 0
2020-02-26T01:35:03    91534  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   42.2  43.5  720 0
2020-02-26T02:13:37    91535  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172   37.9  49.4  720 0
2020-02-26T02:14:04    91536  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172   37.9  49.4  720 0
2020-02-26T07:16:13    91578  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  320.1  47.1  720 0
2020-02-26T07:16:40    91579  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  320.1  47.0  720 0
2020-02-27T05:21:22    91612  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  343.4  60.2  720 0
2020-02-27T05:21:49    91613  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  343.2  60.2  720 0
2020-02-27T05:52:01    91614  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  334.6  57.6  720 0
2020-02-27T05:52:28    91615  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  334.5  57.6  720 0
2020-02-27T06:27:42    91618  Calibration  Cal       NGC5194_north             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  326.8  53.4  720 0
2020-02-27T06:28:09    91619  Science      Map(Ra)   NGC5194_north             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  326.7  53.4  720 0
2020-02-27T06:58:19    91620  Calibration  Cal       NGC5194_south             2018-S1-MU-8                    88.6318   463       5.0  202.469625  47.195172  321.9  49.2  720 0
2020-02-27T06:58:44    91621  Science      Map(Ra)   NGC5194_south             2018-S1-MU-8                    88.6318   463    1147.6  202.469625  47.195172  321.8  49.1  720 0
